膠材資訊
LotNO:,批號,8098X56
P/N:,,1801930101
Qty(kg):,,1.4
EXP Date:,過期時間,20190306
DOM:,,20180907

設備資訊
InColdTime,入冷藏時間,2019/04/01 12:05:16
InColdOperator,入冷藏人員,開發人員-Jack
InWarmTime,入回溫時間,2019/04/01 12:10:47
InWarmOperator,入回溫人員,開發人員-Jack
InWarmCompletedTime,回溫完成時間,2019/04/01 16:10:47
TotalWarmTime,總回溫時間(m),1807(m)
WarmType,回溫狀況,逾時階段(二)
TotalWeight,膠材總重(g),1574.65(g)
EmptyWeight,空膠材重量(g),171.405(g)
ResinWeight,膠材淨重(g),1403.245(g)
OutWarmedTime,倒料時間,2019/04/02 18:17:46
OutWarmOperator,倒料人員,開發人員-Jack
